text,label,sentiment
Dark Souls 3 April Launch Date Confirmed With New Trailer: Embrace the darkness.,1,NEUTRAL
"""National hot dog day, national tequila day, then national dance day... Sounds like a Friday night.""",2,POSITIVE
When girls become bandwagon fans of the Packers because of Harry.   Do y'all even know who Aaron Rodgers is?  Or what a 1st down is?,0,NEGATIVE
@user I may or may not have searched it up on google,1,NEUTRAL
Here's your starting TUESDAY MORNING Line up at  Gentle Yoga with Laura 9:30 am to 10:30 am...,1,NEUTRAL
"@user F-Main, are you in the office tomorrow if I send over some Curtis proofs c/o you, for you and a few colleagues?""",1,NEUTRAL
#US 1st Lady Michelle Obama speaking at the 2015 Beating the Odds Summit to over 130 college-bound students at the pentagon office. &gt;&gt;,2,POSITIVE
Omg this show is so predictable even for the 3rd ep. Rui En\u2019s ex boyfriend was framed for murder probably\u002c by the rich guy.,0,NEGATIVE
"""What a round by Paul Dunne, good luck tomorrow and I hope you win the Open.""",2,POSITIVE
Irving Plaza NYC Blackout Saturday night. Got limited spots left on the guest list. Tweet me why you think you deserve them,1,NEUTRAL
"@user so the thing next Thursday isn't free, you'd have to pay $15 to get in since you don't go to UMBC :/ and it ends at 11:30""",0,NEGATIVE
Can't wait for tomorrow at 9 pm! Chelsea v crystal palace! Hope the blues will win!,2,POSITIVE
F*** the hurricane party this Tues santospartyhaus w/ @user @user @user @ Santos Party House,0,NEGATIVE
"""Thank you @user for the message. I'm very proud to be a Liverpudlian, may i get your follback? #LiverpudlianLoyalitasTanpaBatas #YNWA""",2,POSITIVE
The sad part about this is tomorrow Nicki will be the angry black woman who went after poor white girl Miley,0,NEGATIVE
